icon,name
Switch.png,https://terraria.fandom.com/wiki/Switch
Lever.png,https://terraria.fandom.com/wiki/Lever
Brown_Pressure_Plate.png,https://terraria.fandom.com/wiki/Pressure_Plates
Pink_Weighted_Pressure_Plate.png,https://terraria.fandom.com/wiki/Pressure_Plates
Teal_Pressure_Pad.png,https://terraria.fandom.com/wiki/Teal_Pressure_Pad
Logic_Sensor_(Day).png,https://terraria.fandom.com/wiki/Sensors
Logic_Sensor_(Player_Above).png,https://terraria.fandom.com/wiki/Sensors
Liquid_Sensor_(Water).png,https://terraria.fandom.com/wiki/Sensors
Pressure_Plate_Track.png,https://terraria.fandom.com/wiki/Pressure_Plate_Track
5_Second_Timer.png,https://terraria.fandom.com/wiki/Timers
Detonator.png,https://terraria.fandom.com/wiki/Detonator
Amethyst_Gem_Lock.png,https://terraria.fandom.com/wiki/Gem_Locks
Chest.png,https://terraria.fandom.com/wiki/Trapped_Chests
Dead_Mans_Chest.png,https://terraria.fandom.com/wiki/Dead_Man%27s_Chest
